Property Details	Detalls de la propietat
Property	Propietat
Properties	Propietats
Development	Desenvolupament
Developments	Desenvolupaments
Details	Detalls
Select	Seleccionar
General	General
Rates & Availability	Preus i disponibilitat
Reviews	Comentaris
Description	Descripció
Amenities	Comoditats
Rates	Preus
Availability	Disponibilitat
Compare	Comparar
Property Name	Nom De La Propietat
Category	Categoria
Beds	Llits
Baths	Banys
Sleeps	Dormen
Book Now	Reserva ara
Details & Availability	Detalls i disponibilitat
Attractions	Atraccions
Distance	La Distància
Stories	Històries
Floor	Pis
No rates available	Preus no disponibles
Back to Results	Tornar als resultats
Search Buckets	Cercar Cubs
Specials	Especials
All Rentals	Tots els Lloguers
Would you like to	Li agradaria
Print this Page	Imprimir aquesta pàgina
Available Properties	Propietats Disponibles
This page is secure	Aquesta pàgina és segura
check here	marqui aquí
Unit Size	Mida de la unitat
Posted on	Publicat el
Map & Attractions	Mapa i atraccions
Map	El Mapa
Location	Ubicació
Nearby Rentals	Lloguer properes
Enquire Now	Consulteu ara
Have a Question?	Tinc una pregunta?
Name	El Nom
Phone	Telèfon
Email	Direcció De Correu
Toll Free	Sense Peatge
Fax	Fax
Direct	Directe
Mobile	Mòbil
Skype	Skype
Web Address	Adreça web
Contact Us	Contacti'ns
Our Address	La nostra Direcció
Talk to Us	Parla'ns
View Larger Map	Veure mapa més gran
Check-In	Hora De Arribada
Check-Out	Revisa
How Did You Hear About Us?	Com es va assabentar Nosaltres?
Comments	Comentaris
Submit	Presentar
You May Also Like	També li agradarà
News & Events	Notícies & Esdeveniments
Connect With Us	Connecta't Amb Nosaltres
Find your InstaVilla	Troba el teu InstaVilla
Search for Availability	Cercar disponibilitat
Search	Cerca
Clear	Clar
Advanced	Avançat
Applies To	Es Aplica A
Adults	Majors De Edat
Children	Els Fills
Update	Actualització
Close	Prop
more	més
less	menys
Show More Results	Mostra més resultats
There are no more results	No hi ha més resultats
List	Llista
Photo	Foto
View as	Veure com
There are currently no active promotions/specials	Actualment no hi ha promocions actives / ofertes
Effective Date	Data de vigència
Expiration Date	Data Venciment
Apply	Aplicar
Coupon Code	Codi Promocional
See Details	Veure detalls
Address	Direcció
City	Ciutat
State	Estat
Country	País
Region	Regió
Neighborhood	Barri
Postal Code	Codi Postal
Province	Província
Town	Ciutat
Fast Secure Online Booking	Fast Secure Reserves en línia
Charges	Càrrecs
Taxes & Fees	Impostos i taxes
Rent (including Taxes,Fees,& Deposits)	Lloguer (incloent impostos, taxes i dipòsits)
Rent (including Taxes & Fees)	Lloguer (incloent impostos)
Rent (including Taxes)	Lloguer (incloent impostos)
Rent (including Fees)	Lloguer (incloses les tarifes)
Optional Fees	Honoraris opcionals
Refundable Security Deposit	Dipòsit de garantia reemborsable
Booking Details	Dades de la Reserva
Rent	El Lloguer
Fees	Honoraris
Taxes	Impostos
Optional Fees & Services	Comissions i Serveis Opcionals
Deposits	Dipòsits
Discounts	Descomptes
Sub Total	Sub Total
Total	En Total
First Name	Nom
Last Name	Cognom
Special Requests	Sol·licituds Especials
Change Info	Canviar informació
Accept Terms and Conditions	Acceptar Termes i Condicions
Please fill out all required fields	Si us plau, ompli tots els camps requerits
The entered credit card is invalid	La targeta de crèdit introduït no és vàlid
