Property Details	Описание недвижимости
Property	Свойство
Properties	Свойства
Development	Развитие
Developments	События
Details	Подробности
Select	Выбрать
General	Генерал
Rates & Availability	Цены и Наличие
Reviews	Отзывы
Description	Описание
Amenities	Удобства
Rates	Ставки
Availability	Наличие
Compare	Сравнить
Property Name	Название объекта
Category	Категория
Beds	Кровати
Baths	Баня
Sleeps	Спальные места
Book Now	Заказать Сейчас
Details & Availability	Подробнее & Наличие
Attractions	Достопримечательности
Distance	Расстояние
Stories	Истории
Floor	Этаж
No rates available	Нет Доступные цены
Back to Results	Вернуться к результатам
Search Buckets	Поиск Ведра
Specials	Скидки
All Rentals	Все Аренда
Would you like to	Вы не хотите
Print this Page	Распечатать эту страницу
Available Properties	Доступные свойства
This page is secure	Эта страница является безопасным
check here	проверьте здесь
Unit Size	Размер блока
Posted on	Опубликовано
Map & Attractions	Карта и достопримечательности
Map	Карта
Location	Место Нахождения
Nearby Rentals	Отели в аренду
Enquire Now	Запрос Теперь
Have a Question?	Есть вопрос?
Name	Имя
Phone	Телефон
Email	Электронная Почта
Toll Free	Бесплатный
Fax	Факс
Direct	Прямой
Mobile	Мобильный
Skype	Skype
Web Address	Веб-адрес
Contact Us	Связаться С Нами
Our Address	Наш Адрес
Talk to Us	Обращайтесь к нам,
View Larger Map	Просмотреть увеличенную карту
Check-In	Регистрация
Check-Out	Оформить Заказ
How Did You Hear About Us?	Как Вы Узнали О Нас?
Comments	Комментарии
Submit	Представлять
You May Also Like	Вам Также Может Понравиться
News & Events	Новости и события
Connect With Us	Связаться С Нами
Find your InstaVilla	Найдите InstaVilla
Search for Availability	Поиск для проверки наличия мест
Search	Поиск
Clear	Ясно
Advanced	Продвинутый
Applies To	Относится К
Adults	Взрослые
Children	Ребята
Update	Обновление
Close	Близко
more	еще больше
less	меньше
Show More Results	Показать еще
There are no more results	Там больше нет результаты
List	Список
Photo	Фото
View as	Просмотр в виде
There are currently no active promotions/specials	Там в настоящее время нет активных продвижение / скидки
Effective Date	Дата Вступления В Силу
Expiration Date	Дата Окончания Срока
Apply	Применять
Coupon Code	Код Купона
See Details	См Подробнее
Address	Адрес
City	Город
State	Государственный
Country	Страна
Region	Область
Neighborhood	Окрестности
Postal Code	Почтовый Индекс
Province	Провинция
Town	Город
Fast Secure Online Booking	Быстрый безопасного онлайн-бронирования
Charges	Расходы
Taxes & Fees	Налоги и сборы
Rent (including Taxes,Fees,& Deposits)	Аренда (включая налоги, сборы, и депозиты)
Rent (including Taxes & Fees)	Аренда (включая налоги и сборы)
Rent (including Taxes)	Аренда (включая налоги)
Rent (including Fees)	Аренда (включая сборы)
Optional Fees	Дополнительные платежи
Refundable Security Deposit	Возвращаемый депозит
Booking Details	Бронирование Подробнее
Rent	Аренда
Fees	Сборы
Taxes	Налоги
Optional Fees & Services	Дополнительные платежи и услуги
Deposits	Депозиты
Discounts	Скидки
Sub Total	Промежуточный итог
Total	Общий
First Name	Имя
Last Name	Фамилия
Special Requests	Специальные пожелания
Change Info	Изменение информации
Accept Terms and Conditions	Принять Правила
Please fill out all required fields	Пожалуйста, заполните все обязательные поля
The entered credit card is invalid	Вошел кредитной карты является недействительным
Please accept the terms and conditions	Пожалуйста, примите условия
Guest Information	Информация о госте
Credit Card Information	Данные кредитной карты
Name on Card	Имя на карте
Card Type	Тип Карты
